C*******************************************************************************
C
C                  INTEGRATED WATER FLOW MODEL (IWFM)
C
C*******************************************************************************
C
C                   TIME SERIES BOUNDARY CONDITION DATA
C                        Groundwater Component
C                         *** Version 4.0 ***
C
C
C             Project:  C2VSim Coarse Grid (C2VSimCG)
C                       California Central Valley Groundwater-Surface Water Simulation Model
C             Filename: C2VSimCG_TimeSeriesBC.dat
C             Version:  C2VSimCG v2025 
C
C*******************************************************************************
C
C  California Central Valley Groundwater-Surface Water Flow Model - Coarse Grid (C2VSimCG)
C  Copyright (C) 2003-2025
C  State of California, Department of Water Resources 
C
C  This model is free: you can redistribute it and/or modify it 
C  under the terms of the GNU General Public License as published 
C  by the Free Software Foundation, either version 3 of the License, 
C  or (at your option) any later version.
C
C  This model is distributed in the hope that it will be useful, but  
C  WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY
C  or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public 
C  License for more details.
C
C  You should have received a copy of the GNU General Public License 
C  along with this model. If not, see (https://www.gnu.org/licenses/).
C
C  For technical support, e-mail: IWFMtechsupport@water.ca.gov 
C
C*******************************************************************************
C                          File Description
C
C   This data file contains the time series data for the specified flow, specified  
C   head, general head and/or constrained general head boundary conditions. The file  
C   provides time series data for the groundwater nodes specified in Boundary Conditions  
C   Data File.
C
C*******************************************************************************
C                    Time Series Boundary Condition Specifications
C
C   The following lists the time series values for the groundwater nodes 
C   specified in Boundary Conditions Data File. 
C
C   NBTSD  ; Number of columns (or pathnames if DSS files are used) 
C   FACTHTS; Conversion factor for head values 
C   FACTQTS; Conversion factor for flow values 
C             It is used to convert only the spatial component of the unit; 
C             DO NOT include the conversion factor for time component of the unit.
C             * e.g. Unit of flow listed in this file          = AC-FT/MONTH
C                    Consistent unit used in simulation        = CU.FT/DAY 
C                    Enter FACTQTS (AC-FT/MONTH -> CU.FT/MONTH)= 43560.0 
C                     (conversion of MONTH -> DAY is performed automatically) 
C   NSPHTS;  Number of time steps to update the time series boundary condition data
C             * Enter any number if time-tracking option is on
C   NFQHTS;  Repetition frequency of the time series boundary condition data 
C             * Enter 0 if full time series data is supplied
C             * Enter any number if time-tracking option is on
C   DSSFL ;  The name of the DSS file for data input (maximum 50 characters); 
C             * Leave blank if DSS file is not used for data input
C
C-------------------------------------------------------------------------------
C         VALUE                                      DESCRIPTION
C-------------------------------------------------------------------------------
          6                                          / NBTSD   
          1                                          / FACTHTS
          1                                          / FACTQTS
          0                                          / NSPHTS  
          0                                          / NFQHTS  
                                                     / DSSFL
C-------------------------------------------------------------------------------
C                    Time Series Boundary Condition Data
C                         (READ FROM THIS FILE)
C
C   List the time series boundary condition data below, if it will not be read 
C   from a DSS file (i.e. DSSFL is left blank above).
C
C   ITHTS;  Time
C   HQTS ;  Time series boundary values; [L] or [L^3/T] 
C
C----------------------------------------------------------------------------------------------------------- 
C   ITHTS   HQTS(1)  HQTS(2)  HQTS(3) ...
C-----------------------------------------------------------------------------------------------------------
C                          1         2         3         4         5         6 
  10/31/1973_24:00    429.82    217.53    130.04   9999.00   9999.00   9999.00
  11/30/1973_24:00    436.08    209.75    130.04   9999.00   9999.00   9999.00
  12/31/1973_24:00    449.15    211.76    130.04   9999.00   9999.00   9999.00
  01/31/1974_24:00    451.10    209.61    130.04   9999.00   9999.00   9999.00
  02/28/1974_24:00    444.79    214.58    130.04   9999.00   9999.00   9999.00
  03/31/1974_24:00    455.70    219.98    130.04   9999.00   9999.00   9999.00
  04/30/1974_24:00    465.95    222.29    130.04   9999.00   9999.00   9999.00
  05/31/1974_24:00    462.87    227.70    130.04   9999.00   9999.00   9999.00
  06/30/1974_24:00    456.95    231.84    130.04   9999.00   9999.00   9999.00
  07/31/1974_24:00    447.14    229.25    130.04   9999.00   9999.00   9999.00
  08/31/1974_24:00    438.81    226.51    130.04   9999.00   9999.00   9999.00
  09/30/1974_24:00    435.59    222.27    130.04   9999.00   9999.00   9999.00
  10/31/1974_24:00    429.27    217.43    130.04   9999.00   9999.00   9999.00
  11/30/1974_24:00    427.17    215.34    130.04   9999.00   9999.00   9999.00
  12/31/1974_24:00    429.42    214.69    130.04   9999.00   9999.00   9999.00
  01/31/1975_24:00    433.81    215.88    130.04   9999.00   9999.00   9999.00
  02/28/1975_24:00    445.49    220.23    130.04   9999.00   9999.00   9999.00
  03/31/1975_24:00    451.60    222.18    130.04   9999.00   9999.00   9999.00
  04/30/1975_24:00    460.57    222.10    130.04   9999.00   9999.00   9999.00
  05/31/1975_24:00    462.87    225.05    130.04   9999.00   9999.00   9999.00
  06/30/1975_24:00    459.73    231.27    130.04   9999.00   9999.00   9999.00
  07/31/1975_24:00    450.23    229.71    130.04   9999.00   9999.00   9999.00
  08/31/1975_24:00    440.74    225.82    130.04   9999.00   9999.00   9999.00
  09/30/1975_24:00    437.88    222.46    130.04   9999.00   9999.00   9999.00
  10/31/1975_24:00    433.09    217.91    131.52   9999.00   9999.00   9999.00
  11/30/1975_24:00    432.31    215.06    131.52   9999.00   9999.00   9999.00
  12/31/1975_24:00    431.78    216.35    131.52   9999.00   9999.00   9999.00
  01/31/1976_24:00    431.07    216.93    131.52   9999.00   9999.00   9999.00
  02/29/1976_24:00    429.17    216.44    131.52   9999.00   9999.00   9999.00
  03/31/1976_24:00    435.46    214.75    131.52   9999.00   9999.00   9999.00
  04/30/1976_24:00    441.30    212.82    131.52   9999.00   9999.00   9999.00
  05/31/1976_24:00    449.44    209.63    131.52   9999.00   9999.00   9999.00
  06/30/1976_24:00    447.96    205.92    131.52   9999.00   9999.00   9999.00
  07/31/1976_24:00    443.08    202.09    131.52   9999.00   9999.00   9999.00
  08/31/1976_24:00    438.01    198.83    131.52   9999.00   9999.00   9999.00
  09/30/1976_24:00    431.88    196.48    131.52   9999.00   9999.00   9999.00
  10/31/1976_24:00    424.64    194.74    131.52   9999.00   9999.00   9999.00
  11/30/1976_24:00    420.23    193.97    131.52   9999.00   9999.00   9999.00
  12/31/1976_24:00    419.80    193.16    131.52   9999.00   9999.00   9999.00
  01/31/1977_24:00    420.17    192.65    131.52   9999.00   9999.00   9999.00
  02/28/1977_24:00    420.48    190.93    131.52   9999.00   9999.00   9999.00
  03/31/1977_24:00    421.35    187.73    131.52   9999.00   9999.00   9999.00
  04/30/1977_24:00    424.43    184.10    131.52   9999.00   9999.00   9999.00
  05/31/1977_24:00    427.77    180.98    131.52   9999.00   9999.00   9999.00
  06/30/1977_24:00    424.41    176.22    131.52   9999.00   9999.00   9999.00
  07/31/1977_24:00    417.50    170.09    131.52   9999.00   9999.00   9999.00
  08/31/1977_24:00    410.02    163.88    131.52   9999.00   9999.00   9999.00
  09/30/1977_24:00    402.81    158.92    131.52   9999.00   9999.00   9999.00
  10/31/1977_24:00    398.31    157.80    130.59   9999.00   9999.00   9999.00
  11/30/1977_24:00    398.56    155.23    130.59   9999.00   9999.00   9999.00
  12/31/1977_24:00    413.00    152.59    130.59   9999.00   9999.00   9999.00
  01/31/1978_24:00    443.06    165.95    130.59   9999.00   9999.00   9999.00
  02/28/1978_24:00    447.89    180.06    130.59   9999.00   9999.00   9999.00
  03/31/1978_24:00    454.67    192.58    130.59   9999.00   9999.00   9999.00
  04/30/1978_24:00    466.88    202.98    130.59   9999.00   9999.00   9999.00
  05/31/1978_24:00    469.68    212.71    130.59   9999.00   9999.00   9999.00
  06/30/1978_24:00    464.14    229.23    130.59   9999.00   9999.00   9999.00
  07/31/1978_24:00    454.40    229.75    130.59   9999.00   9999.00   9999.00
  08/31/1978_24:00    443.77    226.67    130.59   9999.00   9999.00   9999.00
  09/30/1978_24:00    441.40    222.74    130.59   9999.00   9999.00   9999.00
  10/31/1978_24:00    434.13    217.88    131.94   9999.00   9999.00   9999.00
  11/30/1978_24:00    430.15    215.95    131.94   9999.00   9999.00   9999.00
  12/31/1978_24:00    428.82    215.73    131.94   9999.00   9999.00   9999.00
  01/31/1979_24:00    431.12    218.35    131.94   9999.00   9999.00   9999.00
  02/28/1979_24:00    437.66    220.28    131.94   9999.00   9999.00   9999.00
  03/31/1979_24:00    452.51    222.24    131.94   9999.00   9999.00   9999.00
  04/30/1979_24:00    463.08    227.90    131.94   9999.00   9999.00   9999.00
  05/31/1979_24:00    463.05    234.43    131.94   9999.00   9999.00   9999.00
  06/30/1979_24:00    455.36    233.97    131.94   9999.00   9999.00   9999.00
  07/31/1979_24:00    445.70    231.06    131.94   9999.00   9999.00   9999.00
  08/31/1979_24:00    438.38    226.63    131.94   9999.00   9999.00   9999.00
  09/30/1979_24:00    434.23    223.39    131.94   9999.00   9999.00   9999.00
  10/31/1979_24:00    425.79    219.57    130.59   9999.00   9999.00   9999.00
  11/30/1979_24:00    426.79    216.18    130.59   9999.00   9999.00   9999.00
  12/31/1979_24:00    432.27    216.29    130.59   9999.00   9999.00   9999.00
  01/31/1980_24:00    449.75    215.40    130.59   9999.00   9999.00   9999.00
  02/29/1980_24:00    454.20    215.63    130.59   9999.00   9999.00   9999.00
  03/31/1980_24:00    452.47    212.19    130.59   9999.00   9999.00   9999.00
  04/30/1980_24:00    459.36    215.15    130.59   9999.00   9999.00   9999.00
  05/31/1980_24:00    458.90    217.82    130.59   9999.00   9999.00   9999.00
  06/30/1980_24:00    455.10    222.71    130.59   9999.00   9999.00   9999.00
  07/31/1980_24:00    446.82    224.51    130.59   9999.00   9999.00   9999.00
  08/31/1980_24:00    438.44    222.72    130.59   9999.00   9999.00   9999.00
  09/30/1980_24:00    432.34    220.46    130.59   9999.00   9999.00   9999.00
  10/31/1980_24:00    421.77    216.51    130.12   9999.00   9999.00   9999.00
  11/30/1980_24:00    422.40    214.37    130.12   9999.00   9999.00   9999.00
  12/31/1980_24:00    425.87    213.08    130.12   9999.00   9999.00   9999.00
  01/31/1981_24:00    431.47    215.59    125.36   9999.00   9999.00   9999.00
  02/28/1981_24:00    452.38    216.95    124.73   9999.00   9999.00   9999.00
  03/31/1981_24:00    456.78    220.43    124.79   9999.00   9999.00   9999.00
  04/30/1981_24:00    462.88    220.82    125.33   9999.00   9999.00   9999.00
  05/31/1981_24:00    460.18    219.03    126.66   9999.00   9999.00   9999.00
  06/30/1981_24:00    455.62    216.15    126.46   9999.00   9999.00   9999.00
