C*******************************************************************************
C
C                  INTEGRATED WATER FLOW MODEL (IWFM)
C
C*******************************************************************************
C
C                 RETURN FLOW FRACTIONS DATA FILE
C                       Root Zone Component
C                       *** Version 4.13 ***
C
C
C             Project:  C2VSim Coarse Grid (C2VSimCG)
C                       California Central Valley Groundwater-Surface Water Simulation Model
C             Filename: C2VSimCG_ReturnFlowFrac.dat
C             Version:  C2VSimCG v2025 
C
C
C*******************************************************************************
C
C  California Central Valley Groundwater-Surface Water Flow Model - Coarse Grid (C2VSimCG)
C  Copyright (C) 2003-2025
C  State of California, Department of Water Resources 
C
C  This model is free: you can redistribute it and/or modify it 
C  under the terms of the GNU General Public License as published 
C  by the Free Software Foundation, either version 3 of the License, 
C  or (at your option) any later version.
C
C  This model is distributed in the hope that it will be useful, but  
C  WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY
C  or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public 
C  License for more details.
C
C  You should have received a copy of the GNU General Public License 
C  along with this model. If not, see (https://www.gnu.org/licenses/).
C
C  For technical support, e-mail: IWFMtechsupport@water.ca.gov 
C
C*******************************************************************************
C                           File Description
C
C   This data file contains a set of return flows given as fractions of irrigation
C   water.  
C
C*******************************************************************************
C               Return Flow Fractions Data Specifications
C
C   NCOLRT ; Number of return flow fractions data columns
C   NSPRT  ; Number of time steps to update the return flow fractions
C             * Enter any number if time-tracking option is on
C   NFQRT  ; Repetition frequency of the return flow fractions data 
C             * Enter 0 if full time series data is supplied
C             * Enter any number if time-tracking option is on
C   DSSFL  ; The name of the DSS file for data input 
C             * Leave blank if DSS file is not used for data input
C
C-------------------------------------------------------------------------------
C         VALUE                                      DESCRIPTION
C-------------------------------------------------------------------------------
          6                                          / NCOLRT
          1                                          / NSPRT
          0                                          / NFQRT
                                                     / DSSFL
C----------------------------------------------------------------------------------------------
C                            Return Flow Fractions 
C                            (READ FROM THIS FILE)
C
C   List the return flow fractions data below, if it will not be read from
C   a DSS file (i.e. DSSFL is left blank above).
C
C   TIME ;  Time
C   RTRNF;  Return flows as a fraction of applied water; [dimensionless]
C
C----------------------------------------------------------------------------------------------
C TIME       RTRNF[1]  RTRNF[2]  RTRNF[3] ... RTRNF[NCOLRT] 
C                     0%      1%      5%      10%     15%     Urban           
C----------------------------------------------------------------------------------------------
 10/31/1973_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 11/30/1973_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 12/31/1973_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 01/31/1974_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 02/28/1974_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 03/31/1974_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 04/30/1974_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 05/31/1974_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 06/30/1974_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 07/31/1974_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 08/31/1974_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 09/30/1974_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 10/31/1974_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 11/30/1974_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 12/31/1974_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 01/31/1975_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 02/28/1975_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 03/31/1975_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 04/30/1975_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 05/31/1975_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 06/30/1975_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 07/31/1975_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 08/31/1975_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 09/30/1975_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 10/31/1975_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 11/30/1975_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 12/31/1975_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 01/31/1976_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 02/29/1976_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 03/31/1976_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 04/30/1976_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 05/31/1976_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 06/30/1976_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 07/31/1976_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 08/31/1976_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 09/30/1976_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 10/31/1976_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 11/30/1976_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 12/31/1976_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 01/31/1977_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 02/28/1977_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 03/31/1977_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 04/30/1977_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 05/31/1977_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 06/30/1977_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 07/31/1977_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 08/31/1977_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 09/30/1977_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 10/31/1977_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 11/30/1977_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 12/31/1977_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 01/31/1978_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 02/28/1978_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 03/31/1978_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 04/30/1978_24:00     0.000   0.010   0.050   0.100   0.150   0.000
 05/31/1978_24:00     0.000   0.010   0.050   0.100   0.150   0.000
